DATE,PROVINCE,ESTABLISH_NAME,ADDRESS,CITY,VENDOR_NUMBER_PO,VENDOR_NAME,PRODUCT_SKU_NO,PRODUCT_NAME,WEEK_ENDING_DATE,CASE_SALES
3/11/2024,BC,CANAPA SKY,211 16th Ave E,Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-03-02 0:00,4
10/14/2024,BC,GOODFELLAS CANNABIS CLUB,1199 Marine Drive,North Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,GOODFELLAS CANNABIS CLUB,1199 Marine Drive,North Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-28 0:00,1
10/14/2024,BC,GREEN GEAR CANNABIS,412 Cranbrook Street North,Cranbrook,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,GREEN STAR CANNABIS COMPANY,1400-2701 Cliffe Ave,Courtenay,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
10/14/2024,BC,GREEN STAR CANNABIS COMPANY,1400-2701 Cliffe Ave,Courtenay,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-21 0:00,1
10/14/2024,BC,GREENSTAR CANNABIS COMPANY,115 1st St E,North Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
10/14/2024,BC,GREENSTAR CANNABIS COMPANY,115 1st St E,North Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
10/14/2024,BC,GREENSTAR CANNABIS COMPANY,115 1st St E,North Vancouver,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-21 0:00,1
10/14/2024,BC,GREENSTAR CANNABIS COMPANY,115 1st St E,North Vancouver,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HAPPY ISLE CANNABIS,"6609 Royal Ave, Horseshoe Bay",West Vancouver,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
10/14/2024,BC,HAPPY ISLE CANNABIS COMPANY,203 - 992 Dorman Road,Bowen Island,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HAPPY ISLE CANNABIS COMPANY,203 - 992 Dorman Road,Bowen Island,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,HAPPY ISLE CANNABIS COMPANY,203 - 992 Dorman Road,Bowen Island,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-05 0:00,1
10/14/2024,BC,HAPPY ISLE CANNABIS COMPANY,203 - 992 Dorman Road,Bowen Island,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
10/14/2024,BC,HARBOUR CANNABIS,5 - 250 Main St,Ucluelet,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,3
10/14/2024,BC,HARBOUR CANNABIS,5 - 250 Main St,Ucluelet,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-28 0:00,1
10/14/2024,BC,HARBOUR CANNABIS,5 - 250 Main St,Ucluelet,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,HARBOUR CANNABIS,5 - 250 Main St,Ucluelet,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-12 0:00,5
10/14/2024,BC,HARVEST MOON CANNABIS,366 Lower Ganges,Salt Spring Island,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
10/14/2024,BC,HARVEST MOON CANNABIS,366 Lower Ganges,Salt Spring Island,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-09-28 0:00,1
10/14/2024,BC,HARVEST MOON CANNABIS,366 Lower Ganges,Salt Spring Island,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-05 0:00,1
10/14/2024,BC,HARVEST MOON CANNABIS,366 Lower Ganges,Salt Spring Island,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,2
10/14/2024,BC,HI CANNABIS,1-538 Yates Road,Kelowna,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-09-21 0:00,1
10/14/2024,BC,HI CANNABIS,1-538 Yates Road,Kelowna,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,HI CANNABIS,1-538 Yates Road,Kelowna,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,1
10/14/2024,BC,HI CANNABIS,1-538 Yates Road,Kelowna,500256,ST-LEGER WATERS INC,1062989,GREEN MONKE-ORANGE PASSIONFRUIT-350ML,2024-10-12 0:00,1
10/14/2024,BC,HIGH ARROW CANNABIS,114-1502 Columbia Ave,Castlegar,500256,ST-LEGER WATERS INC,1062987,GREEN MONKE-TROPICAL CITRUS-350ML,2024-10-05 0:00,1
10/14/2024,BC,HIGH TIDE CANNABIS,7875 West Coast Road,Sooke,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-10-12 0:00,2
10/14/2024,BC,HIGH5 CANNABIS,5 - 3227 264th Street,Aldergrove,500256,ST-LEGER WATERS INC,1062988,GREEN MONKE-MANGO GUAVA-350ML,2024-09-21 0:00,1
